company,location,education,skills,job_type,salary,job_experience,job_role,min_experience,max_experience,experience_level,skill_count,top_skill,salary_lpa
UPL,"Bangalore/Bengaluru, Mumbai (All Areas)",postgraduate,"python, mlt, statistical modeling, machine learning, it skills, advanced analytics, scala, statistics",contract,939957.0,5-6,Senior Data Scientist,5.0,6.0,Senior,8,python,9.4
Walmart,Bangalore/Bengaluru,postgraduate,"data science, machine learning, python, azure, biqquery, gcp, pyspark, tensorflow",contract,2060767.0,1-7,Senior Data Scientist,1.0,7.0,Senior,8,data science,20.61
SAP India Pvt.Ltd,Bangalore/Bengaluru,undergraduate,"python, it skills, testing, cloud, product management, sap, cloud computing, nlp",full-time,698970.0,7-8,Applied Data Scientist / ML Senior Engineer (Python / SQL),7.0,8.0,Senior,8,python,6.99
UPL,"Bangalore/Bengaluru, Mumbai (All Areas)",postgraduate,"python, machine learning, data science, data analysis, aws, azure",full-time,529674.0,6-7,Data Scientist,6.0,7.0,Senior,6,python,5.3
Walmart,Bangalore/Bengaluru,undergraduate,"it skills, python, data science, machine learning, big data, computer science, computer vision, deep learning",contract,2163829.0,3-7,Data Scientist,3.0,7.0,Senior,8,it skills,21.64
Walmart,Bangalore/Bengaluru,postgraduate,"data science, oral communication, shell, python, unix, written, big data, machine learning",full-time,2202588.0,6-7,Principal Data Scientist,6.0,7.0,Senior,8,data science,22.03
Walmart,Bangalore/Bengaluru,undergraduate,"computer science, cassandra, machine learning, agile, data structures, open source, distribution system, analytics",contract,1681841.0,2-4,Data Scientist,2.0,4.0,Mid,8,computer science,16.82
UPL,"Bangalore/Bengaluru, Mumbai (All Areas)",postgraduate,"team lead, mlt, machine learning, aws, python, it skills, testing, data science",contract,1307215.0,1-4,Expert Data Scientist,1.0,4.0,Mid,8,team lead,13.07
Ericsson,Bangalore/Bengaluru,postgraduate,"graphics, bidding, google analytics, data management, social networking, google adwords, html, business intelligence",full-time,1414623.5,3-4,Data Scientist,3.0,4.0,Mid,8,graphics,14.15
Geakminds Technologies Private Limited,Chennai,undergraduate,"machine learning, python, tableau, azure, gcp, data mining, data analysis, sql",contract,1449463.0,6-8,Sr Data Scientist / Lead Data Scientist | GeakMinds | Chennai,6.0,8.0,Senior,8,machine learning,14.49
Global Employees,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru, Any Location",unknown,"machine learning, it skills, java, python, software development, data science, nlp, open source",full-time,1293537.0,3-5,Senior Data Scientist - Machine Learning,3.0,5.0,Mid,8,machine learning,12.94
Tredence Analytics Solutions Private Limited,"Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",postgraduate,"time series forecasting, machine learning, sql, python, cnn, rnn, un supervised learning, supervised learning",full-time,1414623.5,6-7,Data Scientist / Senior Data Scientist,6.0,7.0,Senior,8,time series forecasting,14.15
Target,Bangalore/Bengaluru,postgraduate,"computer science, c++, artificial intelligence, machine learning, scala, agile, data structures, scrum",contract,1062937.0,3-7,Sr Data Scientist,3.0,7.0,Senior,8,computer science,10.63
Northface Consultancy Services Private Limited,Bangalore/Bengaluru(Whitefield),postgraduate,"database knowledge, r, statistical programming, python, it skills, machine learning, mathematics and science background, sas",contract,452946.0,4-6,Senior Data Scientist,4.0,6.0,Senior,8,database knowledge,4.53
referral,Bangalore/Bengaluru,unknown,"computer science, computer vision, operations research, product engineering, data science, coding, machine learning, information retrieval",contract,2430530.0,1-3,Senior Data Scientist,1.0,3.0,Mid,8,computer science,24.31
Micello India Pvt Ltd,Bangalore/Bengaluru,undergraduate,"ci cd, algorithms, data science, nosql, data structure, python, azure, aws",full-time,619637.0,6-7,Lead Python Data Scientist,6.0,7.0,Senior,8,ci cd,6.2
Flipkart,Bangalore/Bengaluru,undergraduate,"computer vision, git, machine learning, jira, python, deep learning, data science, neural networks",contract,1414623.5,6-8,Senior Data Scientist Grade12,6.0,8.0,Senior,8,computer vision,14.15
Flipkart,Bangalore/Bengaluru,postgraduate,"data science, e commerce, statistics",contract,2136779.0,4-5,Senior Data Scientist Grade12,4.0,5.0,Mid,3,data science,21.37
Tesco,Bangalore/Bengaluru,undergraduate,"python, tableau, machine learning, sql, statistical modeling, adv excel, microstrategy, r shiny",contract,1906007.0,6-7,Sr. Analyst - Applied Data Scientist,6.0,7.0,Senior,8,python,19.06
IGT India,Hyderabad/Secunderabad,postgraduate,"it skills, python, data science, machine learning, big data, aws, azure, computer science",full-time,1124428.0,4-7,Data Scientist V,4.0,7.0,Senior,8,it skills,11.24
