Company,Location,education,Skills/Description,job_type,salary,Job Experience,Job_Role
UPL,"Bangalore/Bengaluru, Mumbai (All Areas)",Post-graduate,"python, MLT, statistical modeling, machine learning, IT Skills, advanced analytics, scala, statistics",contract,939957.0,3-6,Senior Data Scientist
Walmart,Bangalore/Bengaluru,Post-graduate,"Data Science, Machine learning, Python, Azure, BiqQuery, GCP, PySpark, tensorflow",contract,2060767.0,5-9,Senior Data Scientist
SAP India Pvt.Ltd,Bangalore/Bengaluru,UG,"Python, IT Skills, Testing, Cloud, Product Management, SAP, Cloud computing, NLP",full-time,698970.0,5-10,Applied Data Scientist / ML Senior Engineer (Python / SQL)
UPL,"Bangalore/Bengaluru, Mumbai (All Areas)",Post-graduate,"python, machine learning, Data Science, data analysis, aws, azure",full-time,529674.0,1-4,Data Scientist
Walmart,Bangalore/Bengaluru,UG,"IT Skills, Python, Data Science, Machine Learning, Big Data, Computer science, Computer vision, deep learning",contract,2163829.0,4-8,Data Scientist
Walmart,Bangalore/Bengaluru,Post-graduate,"Data Science, oral communication, Shell, Python, Unix, written, Big Data, machine learning",full-time,2202588.0,7-12,Principal Data Scientist
Walmart,Bangalore/Bengaluru,UG,"Computer science, cassandra, Machine learning, Agile, Data structures, Open source, Distribution system, Analytics",contract,1681841.0,4-8,Data Scientist
UPL,"Bangalore/Bengaluru, Mumbai (All Areas)",pg,"team lead, MLT, machine learning, aws, Python, IT Skills, Testing, Data Science",contract,1307215.0,6-9,Expert Data Scientist
Ericsson,Bangalore/Bengaluru,PG,"Graphics, Bidding, Google Analytics, Data management, Social networking, Google AdWords, HTML, Business intelligence",full-time,,10-20,Data Scientist
Geakminds Technologies Private Limited,Chennai,UG,"Machine Learning, Python, Tableau, Azure, GCP, data mining, Data analysis, SQL",contract,1449463.0,5-9,Sr Data Scientist / Lead Data Scientist | GeakMinds | Chennai
Global Employees,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru, Any Location",,"Machine learning, IT Skills, Java, Python, Software Development, Data Science, NLP, Open Source",full-time,1293537.0,7-12,Senior Data Scientist - Machine Learning
Tredence Analytics Solutions Private Limited,"Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",pg,"Time series forecasting, Machine Learning, Sql, Python, CNN, RNN, un- supervised learning, supervised learning",full-time,,2-7,Data Scientist / Senior Data Scientist
Target,Bangalore/Bengaluru,Post-graduate,"Computer science, C++, Artificial Intelligence, Machine learning, SCALA, Agile, Data structures, Scrum",contract,1062937.0,2-7,Sr Data Scientist
Northface Consultancy Services Private Limited,Bangalore/Bengaluru(Whitefield),pg,"database knowledge, R, Statistical Programming, Python, IT Skills, Machine Learning, Mathematics and Science background, SAS",,452946.0,3-6,Senior Data Scientist
referral,Bangalore/Bengaluru,,"Computer science, Computer vision, Operations research, Product engineering, data science, Coding, Machine learning, Information retrieval",contract,2430530.0,2-4,Senior Data Scientist
Micello India Pvt Ltd,Bangalore/Bengaluru,Under-graduate,"CI / CD, Algorithms, Data Science, NoSQL, Data Structure, Python, Azure, AWS",full-time,619637.0,8-12,Lead Python Data Scientist
Flipkart,Bangalore/Bengaluru,Under-graduate,"Computer vision, GIT, Machine learning, JIRA, Python, deep learning, data science, Neural networks",contract,,5-10,Senior Data Scientist Grade12
Flipkart,Bangalore/Bengaluru,pg,"data science, E-commerce, Statistics",contract,2136779.0,5-7,Senior Data Scientist Grade12
Tesco,Bangalore/Bengaluru,UG,"python, Tableau, Machine Learning, sql, Statistical Modeling, Adv Excel, Microstrategy, R shiny",contract,1906007.0,3-5,Sr. Analyst - Applied Data Scientist
IGT India,Hyderabad/Secunderabad,PG,"IT Skills, Python, Data Science, Machine Learning, Big Data, AWS, Azure, Computer science",full-time,1124428.0,1-6,Data Scientist V
Pfizer,Chennai,Post-graduate,"Computer science, data science, Neural networks, Pharma, Network analysis, Machine learning, Clinical trials, data visualization",full-time,,2-3,"Manager, Data Scientist/AI and Machine Learning Specialist"
eClerx,Pune,pg,"Tableau, Data Science, R, Logistic Regression, SAS, Classification, Data Analytics, Random Forest",contract,1825133.0,4-6,Digital-Process Manager-Data Scientist PM
Eli Lilly and Company,Bangalore/Bengaluru,ug,"data reporting, Analytical, Pharma, Healthcare, data integrity, HR, Troubleshooting, HPLC",contract,902856.0,2-6,Associate Data Scientist
Revnomix Solutions LLP,"Mumbai, Pune, Mumbai (All Areas)",ug,"python, django, java, MySQL, IT Skills, Data Science, Cloud, Javascript",full-time,572639.0,5-8,Senior Data Scientist
novo,Gurgaon/Gurugram,pg,"Data management, data science, Cash flow, Data analytics, big data, Business banking, Analytics, SQL",full-time,1911490.0,4-8,Senior Data Scientist
Sejal Consulting Hub,Remote,UG,"Data Analysis, C++, Data Visualization, Advanced Excel, Tableau, Python",contract,1835512.0,0-3,Junior Data Analyst/ Scientist- Fresher Position
Accenture,Bangalore/Bengaluru,UG,"SAS, Consulting, Programming, Life sciences, Pharmacovigilance, Cognos, Project initiation, Clinical trials",full-time,453951.0,7-11,Sr. Clinical Data Programming Scientist
Pfizer,Chennai,pg,"Data management, EDC, Clinical trials, Data collection, Clinical research, Data quality, Licensing, Monitoring",,895081.0,4-8,"Manager, Senior Clinical Data Scientist, Clinical Data Sciences"
Michelin,Pune,UG,"Supply chain, Text mining, Data management, Manager Technology, Data quality, Mathematics, Network management, big data",contract,367683.0,3-7,Senior Data Scientist
eClerx,Pune,ug,"Tableau, Data Science, R, Logistic Regression, SAS, Classification, image analytics, Data Analytics",contract,1912489.0,8-13,Digital-Senior Process Manager- Data Scientist SPM
MNR Solutions Pvt. Ltd.,"Pune, Bangalore/Bengaluru",,"Computer vision, PDF, data manipulation, Machine learning, data visualization, Executive search, Data mining, big data",full-time,1899161.0,5-10,Data Scientist
Teq Analytics,"Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",pg,"Deployment, Tableau, machine learning, Etl Automation, Gcp Cloud, IT Skills, Python, Data Science",contract,1940902.0,3-8,Data Scientist - Machine learning AI
String Bio,Bangalore/Bengaluru,PG,"Computer science, C++, Operations research, Analytical, Machine learning, Data collection, Data mining, Business intelligence",full-time,1185086.0,2-7,DATA SCIENTIST
Target,Bangalore/Bengaluru,Under-graduate,"Automation, Product engineering, Operations research, Machine learning, Agile, Data structures, Digital marketing, Open source",,1956620.0,7-12,Principal Data Scientist - Digital Marketing
Tesco Bengaluru,Bangalore/Bengaluru,ug,"Microstrategy, Business services, Analytical, Machine learning, Stakeholder management, Analytics, SQL, Python",contract,1063887.0,3-6,Manager Applied Data Scientist
